TimeUS,RATE-R,ATT-Roll,RATE-P,ATT-Pitch,RATE-Y,ATT-Yaw,RCOU-C1,RCOU-C2,RCOU-C3,RCOU-C4,,,,,,,,
146005967,-3.292947,1.8,-2.091645,-1.77,-0.5144664,92.72,1100,1100,1100,1100,,,,,,,,
146105888,4.511473,1.84,5.694551,-1.71,3.854756,92.74,1100,1100,1100,1100,,,,,,,,
146205940,-3.325355,1.83,-2.698646,-1.72,2.189757,92.75,1100,1100,1100,1100,,,,,,,,
146305846,-8.633688,1.77,-9.857991,-1.78,-0.8459859,92.74,1100,1100,1100,1100,,,,,,,,
146406008,1.190924,1.83,5.125102,-1.68,-1.487882,92.73,1100,1100,1100,1100,,,,,,,,
146505953,-1.208897,1.85,-6.302075,-1.71,0.9437162,92.76,1100,1100,1100,1100,,,,,,,,
146605884,-6.077043,1.8,-2.423206,-1.72,-6.730733,92.72,1100,1100,1100,1100,,,,,,,,
146705911,7.002365,1.87,2.805989,-1.67,-0.07917823,92.74,1100,1100,1100,1100,,,,,,,,
146805882,1.737841,1.89,4.895553,-1.61,-0.589475,92.76,1100,1100,1100,1100,,,,,,,,
146905907,-0.4610257,1.86,-5.667749,-1.67,-1.934122,92.75,1100,1100,1100,1100,,,,,,,,
147005891,3.403617,1.88,7.720348,-1.63,-1.610324,92.75,1100,1100,1100,1100,,,,,,,,
147105881,8.85499,1.94,6.128561,-1.58,3.38439,92.78,1100,1100,1100,1100,,,,,,,,
147205881,-4.421301,1.9,-3.256203,-1.62,0.6460401,92.79,1100,1100,1100,1100,,,,,,,,
147305954,2.114153,1.89,2.45546,-1.6,0.376619,92.77,1100,1100,1100,1100,,,,,,,,
147405906,4.692927,1.94,6.204567,-1.55,4.977632,92.81,1100,1100,1100,1100,,,,,,,,
147505958,-4.038326,1.91,-4.452494,-1.59,3.713676,92.82,1100,1100,1100,1100,,,,,,,,
147605933,-4.815578,1.88,-3.240257,-1.6,-1.490299,92.79,1100,1100,1100,1100,,,,,,,,
147705887,3.754366,1.95,3.48753,-1.54,2.167283,92.82,1100,1100,1100,1100,,,,,,,,
